Bit,Bit_0,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,Bit_11,Bit_12,Bit_13,Bit_14,Bit_15
Bit_0,100.0,41.0,66.0,39.0,48.0,47.0,49.0,50.0,47.0,45.0,49.0,46.0,52.0,45.0,52.0,53.0
Bit_1,41.0,100.0,35.0,52.0,49.0,48.0,52.0,51.0,48.0,46.0,46.0,55.0,49.0,52.0,47.0,46.0
Bit_2,66.0,35.0,100.0,35.0,52.0,47.0,49.0,40.0,43.0,49.0,55.0,48.0,54.0,49.0,50.0,51.0
Bit_3,39.0,52.0,35.0,100.0,47.0,48.0,36.0,53.0,50.0,50.0,46.0,55.0,43.0,54.0,43.0,42.0
Bit_4,48.0,49.0,52.0,47.0,100.0,53.0,57.0,52.0,45.0,53.0,51.0,42.0,48.0,51.0,50.0,51.0
Bit_5,47.0,48.0,47.0,48.0,53.0,100.0,58.0,49.0,54.0,48.0,58.0,49.0,45.0,50.0,49.0,48.0
Bit_6,49.0,52.0,49.0,36.0,57.0,58.0,100.0,43.0,46.0,46.0,58.0,47.0,57.0,54.0,53.0,54.0
Bit_7,50.0,51.0,40.0,53.0,52.0,49.0,43.0,100.0,47.0,57.0,51.0,46.0,52.0,53.0,52.0,51.0
Bit_8,47.0,48.0,43.0,50.0,45.0,54.0,46.0,47.0,100.0,44.0,60.0,35.0,63.0,38.0,55.0,56.0
Bit_9,45.0,46.0,49.0,50.0,53.0,48.0,46.0,57.0,44.0,100.0,48.0,55.0,43.0,60.0,45.0,44.0
Bit_10,49.0,46.0,55.0,46.0,51.0,58.0,58.0,51.0,60.0,48.0,100.0,39.0,61.0,42.0,59.0,60.0
Bit_11,46.0,55.0,48.0,55.0,42.0,49.0,47.0,46.0,35.0,55.0,39.0,100.0,28.0,65.0,28.0,27.0
Bit_12,52.0,49.0,54.0,43.0,48.0,45.0,57.0,52.0,63.0,43.0,61.0,28.0,100.0,39.0,68.0,69.0
Bit_13,45.0,52.0,49.0,54.0,51.0,50.0,54.0,53.0,38.0,60.0,42.0,65.0,39.0,100.0,17.0,16.0
Bit_14,52.0,47.0,50.0,43.0,50.0,49.0,53.0,52.0,55.0,45.0,59.0,28.0,68.0,17.0,100.0,99.0
Bit_15,53.0,46.0,51.0,42.0,51.0,48.0,54.0,51.0,56.0,44.0,60.0,27.0,69.0,16.0,99.0,100.0
