Bit,Bit_0,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,Bit_11,Bit_12,Bit_13,Bit_14,Bit_15,Bit_16,Bit_17,Bit_18,Bit_19,Bit_20,Bit_21,Bit_22,Bit_23,Bit_24,Bit_25,Bit_26,Bit_27,Bit_28,Bit_29,Bit_30,Bit_31
Bit_0,100.0,46.0,56.0,52.0,47.0,57.0,53.0,43.0,54.0,54.0,46.0,40.0,54.0,49.0,49.0,43.0,61.0,39.0,61.0,39.0,61.0,39.0,61.0,39.0,61.0,39.0,61.0,39.0,61.0,39.0,61.0,60.0
Bit_1,46.0,100.0,50.0,44.0,51.0,49.0,53.0,47.0,52.0,48.0,46.0,54.0,40.0,47.0,43.0,49.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,44.0
Bit_2,56.0,50.0,100.0,46.0,41.0,51.0,59.0,47.0,46.0,48.0,54.0,52.0,48.0,43.0,57.0,47.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,48.0
Bit_3,52.0,44.0,46.0,100.0,53.0,49.0,49.0,49.0,42.0,46.0,54.0,52.0,48.0,61.0,45.0,51.0,47.0,53.0,47.0,53.0,47.0,53.0,47.0,53.0,47.0,53.0,47.0,53.0,47.0,53.0,47.0,50.0
Bit_4,47.0,51.0,41.0,53.0,100.0,48.0,54.0,48.0,51.0,43.0,49.0,47.0,57.0,54.0,50.0,46.0,48.0,52.0,48.0,52.0,48.0,52.0,48.0,52.0,48.0,52.0,48.0,52.0,48.0,52.0,48.0,53.0
Bit_5,57.0,49.0,51.0,49.0,48.0,100.0,44.0,50.0,55.0,59.0,47.0,55.0,53.0,54.0,48.0,62.0,38.0,62.0,38.0,62.0,38.0,62.0,38.0,62.0,38.0,62.0,38.0,62.0,38.0,62.0,38.0,39.0
Bit_6,53.0,53.0,59.0,49.0,54.0,44.0,100.0,44.0,55.0,49.0,47.0,57.0,45.0,52.0,52.0,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0
Bit_7,43.0,47.0,47.0,49.0,48.0,50.0,44.0,100.0,43.0,45.0,51.0,49.0,51.0,46.0,52.0,42.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0
Bit_8,54.0,52.0,46.0,42.0,51.0,55.0,55.0,43.0,100.0,46.0,46.0,52.0,54.0,45.0,47.0,55.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,57.0,43.0,40.0
Bit_9,54.0,48.0,48.0,46.0,43.0,59.0,49.0,45.0,46.0,100.0,48.0,62.0,44.0,45.0,51.0,61.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,49.0,51.0,52.0
Bit_10,46.0,46.0,54.0,54.0,49.0,47.0,47.0,51.0,46.0,48.0,100.0,46.0,50.0,47.0,61.0,51.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,56.0
Bit_11,40.0,54.0,52.0,52.0,47.0,55.0,57.0,49.0,52.0,62.0,46.0,100.0,48.0,63.0,53.0,65.0,35.0,65.0,35.0,65.0,35.0,65.0,35.0,65.0,35.0,65.0,35.0,65.0,35.0,65.0,35.0,36.0
Bit_12,54.0,40.0,48.0,48.0,57.0,53.0,45.0,51.0,54.0,44.0,50.0,48.0,100.0,49.0,57.0,47.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,45.0,55.0,54.0
Bit_13,49.0,47.0,43.0,61.0,54.0,54.0,52.0,46.0,45.0,45.0,47.0,63.0,49.0,100.0,44.0,60.0,40.0,60.0,40.0,60.0,40.0,60.0,40.0,60.0,40.0,60.0,40.0,60.0,40.0,60.0,40.0,38.0
Bit_14,49.0,43.0,57.0,45.0,50.0,48.0,52.0,52.0,47.0,51.0,61.0,53.0,57.0,44.0,100.0,68.0,68.0,32.0,68.0,32.0,68.0,32.0,68.0,32.0,68.0,32.0,68.0,32.0,68.0,32.0,68.0,72.0
