Bit_Position,Target_Signal,Injected,Detected,SDC,FDR_Percent
0,pipe_product,50,50,0,100.00
1,pipe_product,50,50,0,100.00
2,pipe_product,50,50,0,100.00
3,pipe_product,50,50,0,100.00
4,pipe_product,50,50,0,100.00
5,pipe_product,50,50,0,100.00
6,pipe_product,50,50,0,100.00
7,pipe_product,50,50,0,100.00
8,pipe_product,50,50,0,100.00
9,pipe_product,50,50,0,100.00
10,pipe_product,50,50,0,100.00
11,pipe_product,50,50,0,100.00
12,pipe_product,50,50,0,100.00
13,pipe_product,50,50,0,100.00
14,pipe_product,50,50,0,100.00
15,pipe_product,50,50,0,100.00
0,pipe_c,50,50,0,100.00
1,pipe_c,50,50,0,100.00
2,pipe_c,50,50,0,100.00
3,pipe_c,50,50,0,100.00
4,pipe_c,50,50,0,100.00
5,pipe_c,50,50,0,100.00
6,pipe_c,50,50,0,100.00
7,pipe_c,50,50,0,100.00
8,pipe_c,50,50,0,100.00
9,pipe_c,50,50,0,100.00
10,pipe_c,50,50,0,100.00
11,pipe_c,50,50,0,100.00
12,pipe_c,50,50,0,100.00
13,pipe_c,50,50,0,100.00
14,pipe_c,50,50,0,100.00
15,pipe_c,50,50,0,100.00
16,pipe_c,50,50,0,100.00
17,pipe_c,50,50,0,100.00
18,pipe_c,50,50,0,100.00
19,pipe_c,50,50,0,100.00
20,pipe_c,50,50,0,100.00
21,pipe_c,50,50,0,100.00
22,pipe_c,50,50,0,100.00
23,pipe_c,50,50,0,100.00
24,pipe_c,50,50,0,100.00
25,pipe_c,50,50,0,100.00
26,pipe_c,50,50,0,100.00
27,pipe_c,50,50,0,100.00
28,pipe_c,50,50,0,100.00
29,pipe_c,50,50,0,100.00
30,pipe_c,50,50,0,100.00
31,pipe_c,50,50,0,100.00
