Signal,Bit,Model,Injected,Detected,SDC,Masked,FDR_Percent
pipe_product,0,SA0,100,19,0,81,100.00
pipe_product,0,SA1,100,81,0,19,100.00
pipe_product,1,SA0,100,40,0,60,100.00
pipe_product,1,SA1,100,60,0,40,100.00
pipe_product,2,SA0,100,33,0,67,100.00
pipe_product,2,SA1,100,67,0,33,100.00
pipe_product,3,SA0,100,32,0,68,100.00
pipe_product,3,SA1,100,68,0,32,100.00
pipe_product,4,SA0,100,47,0,53,100.00
pipe_product,4,SA1,100,53,0,47,100.00
pipe_product,5,SA0,100,46,0,54,100.00
pipe_product,5,SA1,100,54,0,46,100.00
pipe_product,6,SA0,100,42,0,58,100.00
pipe_product,6,SA1,100,58,0,42,100.00
pipe_product,7,SA0,100,47,0,53,100.00
pipe_product,7,SA1,100,53,0,47,100.00
pipe_product,8,SA0,100,54,0,46,100.00
pipe_product,8,SA1,100,46,0,54,100.00
pipe_product,9,SA0,100,42,0,58,100.00
pipe_product,9,SA1,100,58,0,42,100.00
pipe_product,10,SA0,100,50,0,50,100.00
pipe_product,10,SA1,100,50,0,50,100.00
pipe_product,11,SA0,100,39,0,61,100.00
pipe_product,11,SA1,100,61,0,39,100.00
pipe_product,12,SA0,100,39,0,61,100.00
pipe_product,12,SA1,100,61,0,39,100.00
pipe_product,13,SA0,100,50,0,50,100.00
pipe_product,13,SA1,100,50,0,50,100.00
pipe_product,14,SA0,100,43,0,57,100.00
pipe_product,14,SA1,100,57,0,43,100.00
pipe_product,15,SA0,100,42,0,58,100.00
pipe_product,15,SA1,100,58,0,42,100.00
pipe_c,0,SA0,100,50,0,50,100.00
pipe_c,0,SA1,100,50,0,50,100.00
pipe_c,1,SA0,100,40,0,60,100.00
pipe_c,1,SA1,100,60,0,40,100.00
pipe_c,2,SA0,100,46,0,54,100.00
pipe_c,2,SA1,100,54,0,46,100.00
pipe_c,3,SA0,100,56,0,44,100.00
pipe_c,3,SA1,100,44,0,56,100.00
pipe_c,4,SA0,100,49,0,51,100.00
pipe_c,4,SA1,100,51,0,49,100.00
pipe_c,5,SA0,100,49,0,51,100.00
pipe_c,5,SA1,100,51,0,49,100.00
pipe_c,6,SA0,100,47,0,53,100.00
pipe_c,6,SA1,100,53,0,47,100.00
pipe_c,7,SA0,100,53,0,47,100.00
pipe_c,7,SA1,100,47,0,53,100.00
pipe_c,8,SA0,100,42,0,58,100.00
pipe_c,8,SA1,100,58,0,42,100.00
pipe_c,9,SA0,100,50,0,50,100.00
pipe_c,9,SA1,100,50,0,50,100.00
pipe_c,10,SA0,100,52,0,48,100.00
pipe_c,10,SA1,100,48,0,52,100.00
pipe_c,11,SA0,100,56,0,44,100.00
pipe_c,11,SA1,100,44,0,56,100.00
pipe_c,12,SA0,100,46,0,54,100.00
pipe_c,12,SA1,100,54,0,46,100.00
pipe_c,13,SA0,100,43,0,57,100.00
pipe_c,13,SA1,100,57,0,43,100.00
pipe_c,14,SA0,100,47,0,53,100.00
pipe_c,14,SA1,100,53,0,47,100.00
pipe_c,15,SA0,100,53,0,47,100.00
pipe_c,15,SA1,100,47,0,53,100.00
pipe_c,16,SA0,100,51,0,49,100.00
pipe_c,16,SA1,100,49,0,51,100.00
pipe_c,17,SA0,100,51,0,49,100.00
pipe_c,17,SA1,100,49,0,51,100.00
pipe_c,18,SA0,100,51,0,49,100.00
pipe_c,18,SA1,100,49,0,51,100.00
pipe_c,19,SA0,100,51,0,49,100.00
pipe_c,19,SA1,100,49,0,51,100.00
pipe_c,20,SA0,100,51,0,49,100.00
pipe_c,20,SA1,100,49,0,51,100.00
pipe_c,21,SA0,100,51,0,49,100.00
pipe_c,21,SA1,100,49,0,51,100.00
pipe_c,22,SA0,100,51,0,49,100.00
pipe_c,22,SA1,100,49,0,51,100.00
pipe_c,23,SA0,100,51,0,49,100.00
pipe_c,23,SA1,100,49,0,51,100.00
pipe_c,24,SA0,100,51,0,49,100.00
pipe_c,24,SA1,100,49,0,51,100.00
pipe_c,25,SA0,100,51,0,49,100.00
pipe_c,25,SA1,100,49,0,51,100.00
pipe_c,26,SA0,100,51,0,49,100.00
pipe_c,26,SA1,100,49,0,51,100.00
pipe_c,27,SA0,100,51,0,49,100.00
pipe_c,27,SA1,100,49,0,51,100.00
pipe_c,28,SA0,100,51,0,49,100.00
pipe_c,28,SA1,100,49,0,51,100.00
pipe_c,29,SA0,100,51,0,49,100.00
pipe_c,29,SA1,100,49,0,51,100.00
pipe_c,30,SA0,100,51,0,49,100.00
pipe_c,30,SA1,100,49,0,51,100.00
pipe_c,31,SA0,100,51,0,49,100.00
pipe_c,31,SA1,100,49,0,51,100.00
